Sin nombre: 0, título, Ingredientes, Direcciones, NER
131, Cazuela de pollo,"[""1/2 taza de arroz crudo"", ""1 lata de sopa de cebolla francesa"", ""1 lata de crema de pollo o sopa de pollo con champiñones"", ""1 lata (4 oz) de champiñones"", ""trozos del tamaño de un bocado de 4 a 6 muslos de pollo o cualquier otra parte de pollo que desee utilizar""]"," [""Mezclar todo junto; verter en una cacerola de 7 x 12 pulgadas."", ""Espolvorear con pimienta y pimentón."", ""Hornear aproximadamente 1 hora y 15 minutos a 350\u00b0.""]"," [""arroz"", ""sopa de cebolla"", ""crema de pollo"", ""champiñones"", ""bocado""]"
132, Dip de alcachofa," [""1 taza de mayonesa"", ""1 taza de queso parmesano o romano rallado"", ""1 frasco de alcachofas, escurridas y cortadas en trozos pequeños""]"," [""Mezcle todos los ingredientes. Vierta en un molde de 9 x 13 pulgadas. Hornee en horno precalentado a 350\u00b0, sin tapar, durante 30 minutos. Sirva caliente con galletas saladas"".]"," [""mayonesa"", ""queso romano"", ""alcachofas""]"
133, Sopa francesa de cebolla,"[""1/4 libra de mantequilla"", ""2 1/2 libra de cebollas, en rodajas"", ""1 cuarto de galón de caldo de carne (3 latas de caldo de carne Campbell's)"", ""1 cuarto de galón de caldo de pollo (3 latas de caldo de pollo Campbell's) "", ""2 cucharadas de salsa inglesa"", ""1 hoja de laurel"", ""1 1/2 cucharadita de sal de ajo"", ""1 cucharadita de pimienta negra (es posible que desees usar menos)"", ""sal al gusto (puedes no quiero ninguno)""]"," [""Caliente la mantequilla en una olla pesada"", ""Agregue las cebollas en rodajas; dore bien, revolviendo constantemente"", ""Agregue el caldo de carne y pollo, la salsa inglesa, la hoja de laurel, el ajo, la sal y la pimienta"", ""Deje cocinar a fuego lento durante 40 minutos."", ""Retire la hoja de laurel; agregue sal."", ""Prepárelo con una rebanada de pan francés tostado (de 1/2 pulgada de espesor)"", ""Agregue una rebanada gruesa de queso suizo (de 1/4 de pulgada de espesor). ), superponiendo el tazón."", ""Ponlo debajo del asador hasta que el queso se derrita y burbujee.""]","[""mantequilla"", ""cebollas"", ""caldo de carne"", ""caldo de pollo"", ""salsa inglesa"", ""hoja de laurel"", ""sal de ajo"", ""pimienta negra"", ""sal""]"
134, Tarta de manzana," [""6 a 7 manzanas en rodajas"", ""1 taza de azúcar"", ""2 cucharadas de harina"", ""1 cucharadita de canela"", ""una pizca de sal y nuez moscada""]"," [""Coloque la base del pastel sin hornear"", ""Cubra las manzanas con 2 cucharadas de margarina con la corteza"", ""Unte la leche encima de la corteza y espolvoree con azúcar"", ""Hornee en el estante inferior a 400\u00b0 durante 45 minutos"". ]"," [""manzanas"", ""azúcar"", ""harina"", ""canela"", ""sal""]"
135, Sloppy Joes," [""1 libra de hamburguesa"", ""1 taza de salsa de tomate"", ""3 cucharadas de salsa inglesa"", ""1 cucharada de mostaza"", ""2 cucharadas de azúcar"", ""sal y pimienta al gusto""]","[""Dore y escurra la hamburguesa."", ""Agregue los ingredientes restantes y cocine a fuego lento durante 20 minutos.""]"," [""hamburguesa"", ""ketchup"", ""salsa inglesa"", ""mostaza"", ""azúcar"", ""sal""]"
136, Pastel 7-Up," [""3 tazas de harina"", ""3 tazas de azúcar"", ""5 huevos"", ""3 barras de mantequilla real (preferiblemente Land O Lakes)"", ""3 cucharadas de sabor a limón"", ""3/4 tazas de 7-Up "", ""colorante alimentario amarillo (opcional)""]","[""Mezcle bien el azúcar y la mantequilla, luego agregue el huevo, la harina, el huevo, la harina, etc. hasta que todos los huevos y la harina estén bien mezclados, ya sea con una batidora de mano o con una batidora/batidora eléctrica."", ""Luego agregue el sabor a limón y su 7- Up (el 7-Up hará que el pastel crezca); agregue colorante alimentario amarillo, que es opcional."", ""Hornee a 325\u00b0 a 350\u00b0 durante 45 minutos a 1 hora, dependiendo del horno."", ""Inserte un palillo después 45 minutos. Cocine en un molde Bundt. Deje enfriar 25 minutos."", ""El pastel está listo"".]"," [""harina"", ""azúcar"", ""huevos"", ""mantequilla"", ""sabor a limón"", ""colorante alimentario amarillo""]"
137, Salsa de carne en conserva," [""1 lata de carne en conserva"", ""1 paquete (8 oz) de queso crema"", ""2/3 taza de mayonesa"", ""1 taza de pepinillos encurtidos confitados picados"", ""2 cucharadas de cebolla picada"", ""1 /2 cucharaditas de rábano picante"", ""1 cucharada de salsa inglesa"", ""2 cucharaditas de mostaza Nance"", ""3 cucharadas de jugo de pepinillos""]","[""Mezcla los ingredientes hasta que estén completamente mezclados"".]"," [""carne en conserva"", ""queso crema"", ""mayonesa"", ""pepinillos"", ""cebolla"", ""rábano picante"", ""salsa inglesa"", ""jugo de pepinillos""]"
138, Tarta de chocolate," [""2 tazas de azúcar"", ""1/2 taza de leche"", ""3 cucharadas de cacao"", ""3 cucharadas colmadas de harina"", ""3 yemas de huevo"", ""1 terrón (2 cucharadas) de mantequilla"", "" 1 cucharadita de vainilla"", ""1 taza de agua hirviendo""]"," [""Mezcle los ingredientes secos; agregue la leche"", ""Agregue las yemas de huevo"", ""Vierta 1 taza de agua hirviendo"", ""Mezcle y cocine hasta que espese"", ""Deje enfriar"", ""Vierta la base del pastel horneado. "", ""Cubrir con merengue y dorar en el horno.""]"," [""azúcar"", ""leche"", ""cacao"", ""harina"", ""yemas de huevo"", ""grumo"", ""vainilla"", ""agua hirviendo""]"
139, Cazuela De Tater Tot,"[""1 bolsa (32 oz.) de Tater Tots"", ""2 lb. de carne molida"", ""1 cebolla picada"", ""1 pimiento morrón picado"", ""1 lata de crema de champiñones"", ""1 lata de crema de apio "", ""1 lata de crema de pollo"", ""queso rallado""]"," [""Extienda los Tater Tots en un molde para pasteles grande, de 9 x 13 pulgadas. Dore la carne y las cebollas; escurra bien"", ""Vierta la mezcla de carne sobre los Tater Tots. Mezcle las 3 sopas en un tazón"", ""Vierta sobre la carne y el Tater Tots. Espolvoree queso rallado para cubrir la sopa."", ""Hornee a 325\u00b0 durante 1 hora."", ""A medida que dore bien la carne y las cebollas, sal y pimienta"".]"," [""Tater"", ""carne molida"", ""cebolla"", ""pimiento morrón"", ""crema de champiñones"", ""crema de apio"", ""crema de pollo"", ""queso rallado""]"
140, Pie de Mora,"[""3/4 taza de azúcar"", ""2 1/2 cucharadas de maicena"", ""1 taza de agua"", ""3 1/2 cucharadas de gelatina con sabor a mora"", ""4 taza de moras frescas"", ""1 taza horneada Base de hojaldre de 9 pulgadas""]"," [""Combine el azúcar, la maicena y el agua en una cacerola pesada; cocine a fuego medio, revolviendo constantemente, hasta que espese"", ""Retire del fuego; agregue la gelatina, revolviendo hasta que se disuelva"", ""Agregue suavemente las moras"", ""Vierta en la base de hojaldre"", ""Enfríe hasta que esté firme"", ""Sirva con Cool Whip o helado"", ""Fácil y muy sabroso"".]"," [""azúcar"", ""maicena"", ""agua"", ""gelatina aromatizada"", ""moras frescas"", ""cáscara de hojaldre""]"
141, Pastel De Caramelo,"[""16 oz. Cool Whip"", ""2 tazas de coco"", ""3/4 de margarina derretida"", ""1 taza de almendras en rodajas finas picadas"", ""1 lata de leche Eagle Brand"", ""3 cortezas de galletas Graham"" , ""8 onzas de queso crema"", ""1 frasco de cobertura de caramelo""]"," [""Mezcle Cool Whip, queso crema ablandado y leche Eagle Brand. Batir durante 1 minuto"", ""Vierta la masa de pastel"", ""Derrita la margarina y mezcle con el coco y las almendras"", ""Coloque en una bandeja para hornear galletas y cocine por 10 minutos a 350\u00b0."", ""Observa atentamente y revuelve con frecuencia"", ""(me gusta el mío tostado)"", ""Vierta la mezcla de coco y almendras sobre las tartas"", ""Vierta la cobertura de caramelo sobre las 3 tartas"". , ""Congelar.""]"," [""coco"", ""margarina"", ""almendras fileteadas"", ""leche"", ""cortezas de galletas Graham"", ""queso crema"", ""cubierta de caramelo""]"
142, salsa de eneldo,"[""3/4 taza de aderezo para ensalada Miracle Whip"", ""1 taza de crema agria"", ""1/2 cucharada de cebolla picada"", ""1/2 cucharada de hojuelas de perejil"", ""1/2 cucharada de eneldo"" ]"," [""Mezclar todos los ingredientes"", ""Déjelos reposar en el refrigerador varias horas antes de servir"", ""Sirva con coliflor cruda, brócoli, zanahorias, apio, champiñones y tomates cherry"".]"," [""Milagro"", ""crema agria"", ""cebolla"", ""hojuelas de perejil"", ""eneldo""]"
143, Pan de maíz con brócoli," [""1/2 cebolla mediana picada"", ""1 cucharada de aceite"", ""5 oz de brócoli congelado"", ""1/2 barra de margarina"", ""1 paquete de mezcla de pan de maíz Jiffy"", ""2 huevos"", ""6 oz . requesón""]","[""Freír la cebolla en aceite"", ""Reservar"", ""Cocinar el brócoli como se indica. Escurrir y reservar"", ""Derrita el oleo"", ""Engrasar un molde de 8 x 8 pulgadas"", ""Mezclar la mezcla para pan de maíz y huevos."", ""Agregue requesón, brócoli, cebolla y margarina oleo derretida."", ""Revuelva bien"", ""Vierta en el molde y hornee a 450\u00b0 durante 20 a 25 minutos.""]"," [""cebolla"", ""aceite"", ""brócoli congelado"", ""margarina"", ""mezcla"", ""huevos"", ""requesón""]"
144, Sopa de verduras," [""1 cebolla mediana, cortada en cubitos"", ""1 papa, cortada en cubitos"", ""1 1/2 pimientos verdes cortados en cubitos"", ""1/2 taza de apio cortado en cubitos"", ""1 taza de zanahorias cortadas en cubitos"", ""1 taza de apio cortado en cubitos"", ""1 taza de zanahorias picadas en cubitos"", macarrones pequeños, cocidos"", ""1 1/2 libra de carne o pavo molido"", ""lata de 14 oz de judías verdes francesas"", ""1 hoja de laurel grande"", ""1 cucharadita de condimento italiano"", ""1 taza de guisantes dulces "", ""1 lata de jugo de tomate""]","[""Corte las verduras"", ""Cocine en una pequeña cantidad de agua hasta que estén tiernas"", ""Agregue los macarrones, las judías verdes y los guisantes cocidos"", ""Agregue la hoja de laurel y el condimento italiano"", ""Cocine la carne de res o el pavo hasta que cambia de color"", ""Agregar a las verduras"", ""Vierta el jugo de tomate"", ""Deje hervir. Reduzca a fuego lento"", ""Si la sopa está demasiado espesa, agregue más jugo de tomate"".]"," [""cebolla"", ""papa"", ""pimientos verdes"", ""apio"", ""zanahorias"", ""macarrones"", ""pavo molido"", ""frijoles"", ""laurel"", ""condimento italiano"", ""guisantes"" , ""jugo de tomate""]"
145, Pastel de chocolate y mantequilla de maní,"[""1/4 taza de cacao"", ""2 barras de oleo"", ""2 tazas de harina"", ""2 tazas de azúcar"", ""1 cucharadita de bicarbonato de sodio"", ""un chorrito de sal"", ""2 huevos"", "" 1 cucharadita de vainilla"", ""1 taza de agua"", ""1/2 taza de suero de leche""]"," [""En una cacerola, derrita el oleo; agregue el cacao."", ""Combine los ingredientes restantes y agregue la mezcla de oleo y cacao"", ""Hornee en un molde de 9 x 13 pulgadas durante 30 minutos a 350\u00b0."", ""Mientras aún esté caliente, Haga agujeros en el pastel. Unte sobre el pastel, 1/2 taza de mantequilla de maní mezclada con 1 1/2 cucharadita de aceite.""]"," [""cacao"", ""oleo"", ""harina"", ""azúcar"", ""bicarbonato de sodio"", ""sal"", ""huevos"", ""vainilla"", ""agua"", ""suero de leche""]"
146, Barras de Galleta Magica,"[""1/2 taza de mantequilla"", ""1 1/2 taza de migajas de galletas Graham"", ""1 lata (14 oz.) de leche Eagle Brand"", ""6 oz. de chispas de chocolate semidulce"", ""1 (3 1/2 oz) lata de coco desmenuzado (1 1/2 taza)"", ""1 taza de nueces picadas""]"," [""Precaliente el horno a 350\u00b0 (325\u00b0 para un plato de vidrio)"", ""En un molde de 13 x 9 pulgadas, derrita la mantequilla en el horno"", ""Espolvoree con migajas"", ""Cubra con leche Eagle Brand de manera uniforme. "", ""Cubra con los ingredientes restantes"", ""Presione hacia abajo. Hornee de 25 a 30 minutos hasta que se dore ligeramente"", ""Deje enfriar o enfríe"", ""Corte en barras; guárdelo, sin tapar, a temperatura ambiente"".]"," [""mantequilla"", ""migas de galletas Graham"", ""leche"", ""chispas de chocolate semidulce"", ""coco en hojuelas"", ""nueces""]"
147, Praliné de Pecanas,"[""1 taza de azúcar"", ""1 taza de azúcar moreno envasada"", ""1/3 taza de leche evaporada"", ""1/2 barra de mantequilla o margarina, ablandada"", ""1 1/2 taza de nueces pecanas"", "" 1 1/2 taza de coco""]"," [""Combine los azúcares y la leche evaporada en una cacerola pesada. Cocine a fuego medio. Agregue la mantequilla, las nueces y el coco. Cocine hasta que el caramelo alcance la etapa de bola suave. (La mezcla formará una bola suave cuando se deje caer en una taza de agua fría)"". , ""Deje enfriar durante 2 minutos. Bata hasta que esté espeso, pero brillante."", ""Deje caer una cucharada sobre papel encerado. Deje enfriar bien"".]"," [""azúcar"", ""azúcar moreno"", ""leche"", ""mantequilla"", ""nueces"", ""coco""]"
148," ""Cosas"" de chocolate"," [""1 caja grande de mezcla para pudín de chocolate instantáneo"", ""1 bolsa pequeña de obleas de vainilla"", ""1 bote pequeño de Cool Whip"", ""1 paquete pequeño de nueces pecanas picadas (aproximadamente 1/2 taza)""]","[""Prepare el pudín como se indica en el paquete, luego agregue las obleas de vainilla. Alise con Cool Whip y espolvoree con nueces pecanas"".]"," [""pudín de chocolate"", ""obleas de vainilla"", ""nueces""]"
149, Glaseado de chocolate fácil," [""1 1/3 taza de azúcar blanca"", ""6 cucharadas de mantequilla"", ""6 cucharadas de leche"", ""1/2 taza de chispas de chocolate"", ""1/2 cucharadita de vainilla""]"," [""Haga hervir el azúcar, la mantequilla y la leche y déjelos hervir durante 1 minuto. Retírelos del fuego y agregue las chispas de chocolate y la vainilla y bata. (Es posible que necesite aproximadamente 1/2 taza de azúcar en polvo)""]"," [""azúcar blanca"", ""mantequilla"", ""leche"", ""chispas de chocolate"", ""vainilla""]"
150, Pastel de calabaza sin hornear,"[""1 sobre de gelatina sin sabor Knox"", ""1 (14 oz.) de leche Eagle Brand"", ""2 huevos batidos"", ""1 lata (16 oz.) de calabaza (no mezcla de calabaza)"", ""1 cucharadita de canela"" , ""1/2 cucharadita de jengibre"", ""1/2 cucharadita de sal"", ""2 bases de pastel horneadas""]"," [""Combine la gelatina, las especias, la leche condensada y los huevos a fuego lento hasta que la gelatina se disuelva (10 minutos). Retire del fuego. Agregue la calabaza."", ""Vierta las bases para pastel horneadas, luego enfríe durante 3 horas. Adorne con Cool Whip y picado nueces pecanas.""]"," [""gelatina sin sabor"", ""leche"", ""huevos"", ""calabaza"", ""canela"", ""jengibre"", ""sal"", ""bases para tarta""]"
151, Tostada Francesa Al Horno," [""5 huevos grandes, ligeramente batidos"", ""1/4 taza de azúcar"", ""1/4 cucharadita de nuez moscada molida"", ""2/3 taza de jugo de naranja"", ""1/3 taza de mitad y mitad de crema"" , ""1/2 cucharadita de vainilla""]","[""Mezcle todo bien en un tazón mediano y corte una barra de pan italiano de 16 onzas en rebanadas de 1 pulgada. Sumerja el pan en la mezcla y colóquelo en una fuente de vidrio grande para hornear. Vierta el resto de la mezcla sobre el pan. Refrigere durante la noche"".]"," [""huevos"", ""azúcar"", ""nuez moscada molida"", ""jugo de naranja"", ""crema"", ""vainilla""]"
152, Para cachorros," [""9 tazas de cereal Chex"", ""1 taza de chispas de chocolate"", ""1 1/2 taza de azúcar en polvo"", ""1/2 taza de mantequilla de maní"", ""1/4 taza de margarina"", ""1 cucharadita . vainilla""]","[""Vierta el cereal en un tazón muy grande."", ""En un tazón de 1 cuarto, combine las papas fritas, la mantequilla de maní y la margarina; cocine en el microondas a temperatura alta durante 1 a 1 1/2 minutos hasta que quede suave."", ""(Revuelva después de 1 minuto .)"", ""Vierta la mezcla de chocolate sobre el cereal, revolviendo todos los trozos hasta que estén todos cubiertos."", ""Luego, poco a poco, agregue el azúcar en polvo."", ""Revuelva bien cada vez que agregue el azúcar en polvo."", ""Puede que no Necesito una caja entera de azúcar en polvo.""]"," [""cereal"", ""chispas de chocolate"", ""azúcar en polvo"", ""mantequilla de maní"", ""margarina"", ""vainilla""]"
153, Cazuela De Tamal," [""1 lata (16 oz.) de maíz amarillo"", ""1 lata (4 oz.) de aceitunas picadas"", ""1 lata (4 oz.) de chiles verdes suaves"", ""2 latas (16 oz.) de tamales"", "" 2 tazas de queso cheddar suave rallado"", ""1/4 taza de cebollas secas picadas""]","[""Precalentar el horno a 350\u00b0."", ""Pelar los envoltorios de los tamales y picarlos en un tazón grande"", ""Escurrir el maíz molido, las aceitunas y los pimientos"", ""Agregarlos a los tamales"", ""Mezclar bien"", ""Colocar en una fuente para hornear de 9 x 13 x 3 pulgadas"", ""Extienda uniformemente"", ""Espolvoree queso encima y aceitunas si lo desea"", ""Hornee de 20 a 30 minutos"", ""8 porciones"", ""Sirva con Arroz español y chips de maíz.""]"," [""molino amarillo"", ""aceitunas"", ""chiles verdes"", ""tamales"", ""queso cheddar"", ""cebollas""]"
154, salsa para tacos," [""1 lata pequeña de frijoles refritos"", ""1 caja pequeña de salsa de guacamole"", ""1 taza de crema agria"", ""3 cucharadas de mayonesa"", ""1 paquete de condimento para tacos"", ""1 taza de queso mozzarella"", ""1 c. queso cheddar"", ""Cebollas verdes picadas, tomate y aceitunas negras (opcional)""]","[""Coloque los ingredientes anteriores en un plato de 9 x 13 pulgadas"", ""Presione con una espátula"", ""Sirva con Doritos"".]"," [""frijoles"", ""salsa de guacamole"", ""crema agria"", ""mayonesa"", ""condimento para tacos"", ""queso mozzarella"", ""queso cheddar"", ""cebollas verdes""]"
155, pan de bonnie," [""4 tazas de agua o agua de papa"", ""1 levadura para pastel o 3 paquetes de levadura seca"", ""2 cucharadas de sal"", ""2 huevos bien batidos"", ""1 taza de azúcar o más""]"," [""Puede usar hojuelas de papa deshidratadas"", ""Agregue harina si lo desea. La masa debe quedar suave y elástica"", ""Hornee en forma de panecillos o pan a 350\u00b0. El pan estará listo cuando suene hueco al golpearlo.""]"," [""agua"", ""levadura de pastel"", ""sal"", ""huevos"", ""azúcar""]"
156, Pastel de pollo,"[""2 tazas de pollo, cocido y en cubos"", ""1 lata de crema de champiñones"", ""3 tazas de caldo de pollo"", ""1 lata de guisantes y zanahorias, escurridos"", ""1 cebolla picada"", ""3/4 tazas . oleo, derretido"", ""1 1/2 taza de leche"", ""1 1/2 cucharadita de levadura en polvo"", ""1 1/2 taza de harina con levadura""]"," [""Combine los primeros cinco ingredientes y colóquelos en una cacerola de 9 x 12 pulgadas"", ""Mezcle los siguientes cuatro ingredientes y vierta sobre la mezcla de pollo"", ""No revuelva"", ""Hornee a 425\u00b0 durante 45 minutos a una hora hasta que la corteza suba y se dore.""]"," [""pollo"", ""crema de champiñones"", ""caldo de pollo"", ""guisantes"", ""cebolla"", ""oleo"", ""leche"", ""levadura en polvo"", ""harina""]"
157, Risotto de pavo ahumado,"[""3 tazas de caldo de pollo o caldo de verduras"", ""1 paquete (10 onzas) de corazones de alcachofa congelados"", ""2 cucharadas de aceite de oliva o canola"", ""3 cebollas verdes, incluidas las puntas, en rodajas (1/3 taza .)"", ""1 diente de ajo picado"", ""1 taza de arroz arborio, basmati o blanco de grano largo"", ""1/2 cucharadita de orégano seco, desmenuzado"", ""1/2 cucharadita de sal"", ""1/4 cucharadita de pimienta negra"", ""4 onzas de espinacas, enjuagadas, recortadas y en rodajas finas (2 tazas)"", ""3 cucharadas de queso parmesano rallado""]"," [""En una cacerola mediana, hierva el caldo a fuego medio."", ""Baje el fuego, agregue los corazones de alcachofa, cubra y cocine a fuego lento durante unos 10 minutos o hasta que estén tiernos."", ""Con una espumadera, transfiera los corazones de alcachofa a un bol y tápelos para mantenerlos calientes.""]","[""pollo"", ""oliva"", ""cebollas verdes"", ""diente de ajo"", ""arborio"", ""orégano"", ""sal"", ""pimienta negra"", ""espinacas"", ""queso parmesano""]"
158, Salsa De Espagueti De Berenjena," [""1/2 taza de aceite (yo uso aceite de oliva, extra light)"", ""1 berenjena grande, sin pelar y picada"", ""2 cebollas medianas picadas"", ""1/2 cabeza de coliflor picada"", ""1 pimiento verde , picado"", ""1/2 taza de perejil fresco (italiano plano), picado"", ""1/4 libra de champiñones, en rodajas"", ""8 dientes de ajo, picados o en puré"", ""2 latas muy grandes de tomates italianos"", ""1 hoja de laurel"", ""1 cucharadita de albahaca seca"", ""1 cucharadita de orégano"", ""1 cucharadita de tomillo"", ""1/2 cucharadita de mejorana"", ""1/2 cucharadita de romero"", ""1/2 cucharadita de sal, opcional"", ""1 taza de vino tinto o blanco seco""]","[""Calentar aceite en una olla grande."", ""Agregar todas las verduras y el ajo. Saltear a fuego medio durante 15 minutos revolviendo frecuentemente."", ""Agregar los tomates y la salsa de tomate y todos los condimentos."", ""Dejar hervir y luego reduzca el fuego."", ""Cubra y cocine a fuego lento durante 3 a 4 horas."", ""Durante la última hora de cocción, agregue el vino.""]"," [""aceite"", ""berenjenas"", ""cebollas"", ""coliflor"", ""pimiento verde"", ""perejil fresco"", ""champiñones"", ""ajos"", ""tomates italianos"", ""laurel"", ""albahaca"", "" orégano"", ""tomillo"", ""mejorana"", ""romero"", ""sal"", ""roja""]"
159, Pastel Watergate,"[""1 caja de mezcla para pastel blanco"", ""1 taza + 1 cucharada de aceite vegetal"", ""1 paquete de mezcla para pudín instantáneo de pistacho"", ""1 taza de ginger ale"", ""3 huevos"", ""1/2 c. nueces picadas"", ""1 paquete (8 oz) de batido frío"", ""3/4 taza de leche"", ""1 paquete de mezcla para pudín instantáneo de pistacho""]"," [""Combine la mezcla para pastel, aceite, pudín instantáneo, ginger ale, huevos y nueces"", ""Vierta en un molde de 13 x 9 pulgadas que haya sido engrasado y enharinado"", ""Hornee a 350\u00b0 durante 30 minutos"". . Deje enfriar y agregue la cobertura cuando esté listo para servir. Para cubrir el pastel, mezcle el batido frío, la leche y la mezcla para pudín instantáneo de pistacho. Vierta sobre el pastel y deje reposar.""]"," [""mezcla para pastel blanco"", ""+"", ""pudín instantáneo de pistacho"", ""ginger ale"", ""huevos"", ""nueces"", ""látigo fresco"", ""leche"", ""pudín instantáneo de pistacho""]"
160, Muffins de ciruela,"[""2 tazas de harina leudante"", ""1 taza de nueces trituradas"", ""3 huevos"", ""2 tarros pequeños de ciruelas para papilla"", ""2 tazas de azúcar"", ""2 cucharaditas de pimienta de Jamaica"", ""1 taza . aceite""]"," [""Mezclar todos los ingredientes"", ""Colocar en moldes para muffins engrasados. Hornear a 325\u00b0 durante 15 a 20 minutos o hasta que estén cocidos"".]"," [""harina"", ""nueces"", ""huevos"", ""azúcar"", ""pimienta de Jamaica"", ""aceite""]"
161, Ponche de arándanos," [""1 cuarto de jugo de arándano"", ""1 cuarto de ginger ale"", ""1 gelatina de cereza pequeña"", ""1 taza de agua hirviendo"", ""6 onzas de limonada congelada"", ""3 tazas de agua fría""]"," [""Mezclar y poner en una ponchera."", ""Cubra con sorbete"".]"," [""jugo de arándano"", ""ginger ale"", ""O"", ""agua hirviendo"", ""limonada congelada"", ""agua fría""]"
162, Pastel de camote,"[""4 batatas, hervidas y escurridas"", ""2 barras de mantequilla"", ""2 tazas de azúcar"", ""4 a 6 huevos"", ""nuez moscada (condimente al gusto)"", ""2 tazas de Milnot""]"," [""Con una batidora, bata las papas, la mantequilla y el azúcar hasta que quede suave y cremoso."", ""Cuidado con los hilos en las papas"", ""Agregue los huevos, uno a la vez"", ""Mezcle después de cada huevo"", ""Agregue condimentos"". , luego leche."", ""Vierta en la base del pastel sin hornear."", ""Hornee a 350\u00b0 durante 45 minutos.""]"," [""batatas"", ""mantequilla"", ""azúcar"", ""huevos"", ""nuez moscada""]"
163, Bizcocho de nueces," [""2 c. de azúcar"", ""1 c. de aceite crisco"", ""4 huevos"", ""2 1/2 c. de harina con levadura"", ""1/2 c. de dulce de leche"", ""1 cucharadita de sabor a vainilla "", ""1 cucharada de sabor a nuez""]","[“Batir bien el azúcar y Crisco.”, “Agregar los huevos, uno a la vez”, “Batir bien”, “Agregar la harina y la leche alternativamente a fuego medio”, “Por último agregar los sabores”, “Batir 2 minutos ."", ""Calienta el horno a 325\u00b0."", ""Vierte la masa en un molde para pasteles engrasado y enharinado."", ""Hornea durante 1 hora.""]"," [""azúcar"", ""aceite crisco"", ""huevos"", ""harina"", ""leche dulce"", ""sabor a vainilla"", ""sabor a nuez""]"
164, Pastelitos de Gloria de la Mañana," [""2 tazas de harina para todo uso"", ""1 1/2 taza de azúcar"", ""2 cucharaditas de bicarbonato de sodio"", ""1 cucharadita de canela molida"", ""1/2 cucharadita de sal"", ""2 tazas zanahorias ralladas"", ""1/2 taza de pasas"", ""1/2 taza de coco"", ""1/2 taza de nueces pecanas picadas"", ""1 lata (8 oz) de piña triturada, escurrida"", ""1 taza. aceite vegetal"", ""3 huevos grandes, ligeramente batidos"", ""2 cucharaditas de vainilla""]","[""Combine los primeros 5 ingredientes en un tazón grande; agregue las zanahorias y los siguientes 4 ingredientes."", ""Haga un hueco en el centro de la mezcla. Combine el aceite vegetal y los ingredientes restantes"", ""Agregue a la mezcla de harina, revolviendo hasta que se humedezca. "", ""Coloque los moldes de papel para hornear en moldes para muffins."", ""Vierta la masa en los moldes para muffins, llenándolos hasta 2/3 de su capacidad. Hornee a 350\u00b0 durante 25 minutos o hasta que estén dorados."", ""Retire de los moldes inmediatamente."", "" Rinde 22 muffins.""]"," [""harina"", ""azúcar"", ""bicarbonato de sodio"", ""canela molida"", ""sal"", ""zanahorias"", ""pasas"", ""coco"", ""pacanas"", ""piña"", ""aceite vegetal"", ""huevos "", ""vainilla""]"
165, Pechugas De Pollo Con Arroz Salvaje,"[""1 3/4 taza de arroz de grano largo y salvaje o arroz natural de cocción rápida"", ""1 lata (10 3/4 oz.) de crema condensada de champiñones o sopa de pollo (sin diluir)"", ""1 (10 3/4 onzas) oz.) lata de sopa de cebolla francesa (sin diluir)"", ""frasco de 2 1/2 oz de champiñones rebanados (sin escurrir)"", ""1/2 taza de agua"", ""4 pechugas de pollo"", ""2 cucharadas de mantequilla o margarina derretida "", ""1/4 taza de migas de copos de maíz o de galletas saladas""]"," [""Combine los primeros 5 ingredientes"", ""Vierta en un plato para microondas engrasado de 9 x 13 pulgadas"", ""Coloque las pechugas de pollo encima de la mezcla de arroz, con el lado grueso de las pechugas en las esquinas del plato"", ""Cepille con mantequilla derretida o margarina y espolvorear uniformemente con migas de copos de maíz.""]"," [""arroz salvaje"", ""crema condensada"", ""sopa de cebolla"", ""champiñones"", ""agua"", ""pechugas de pollo"", ""mantequilla"", ""migas de copos de maíz""]"
166, Judías verdes criollas,"[""1 pimiento verde picado"", ""1 cebolla picada"", ""2 cucharadas de grasa de tocino"", ""1 cucharada de harina"", ""1 cucharadita de sal"", ""1 cucharadita de azúcar"", ""una pizca de pimentón"" , ""1 lata (16 oz) de tomates"", ""1 lata (16 oz) de guisantes""]"," [""Sofríe el pimiento verde y la cebolla en la grasa de tocino caliente hasta que estén tiernos. Agrega la harina, la sal, el azúcar y el pimentón."", ""Revuelve hasta que se mezclen. Agrega los tomates y cocina a fuego lento durante unos 15 minutos"", ""Agrega los guisantes; calienta bien y atender.""]"," [""pimiento verde"", ""cebolla"", ""grasa de tocino"", ""harina"", ""sal"", ""azúcar"", ""pimentón"", ""tomates"", ""guisantes""]"
167, Pan de banana,"[""2 huevos"", ""3 plátanos, cortados en trozos pequeños"", ""1 barra de mantequilla, cortada en trozos pequeños"", ""1 taza de azúcar"", ""1 3/4 taza de harina"", ""3/4 cucharadita. refresco"", ""1 1/4 cucharadita de crémor tártaro"", ""1 taza de nueces picadas (opcional)""]"," [""Mezcle los huevos, los plátanos, la mantequilla y el azúcar en una licuadora o procesador de alimentos"", ""Mezcle los ingredientes restantes"", ""Agregue las dos mezclas"", ""Vierta en un molde engrasado y hornee a 350\u00b0 durante 45 minutos"". ]"," [""huevos"", ""plátanos"", ""mantequilla"", ""azúcar"", ""harina"", ""refrescos"", ""crémor tártaro"", ""nueces""]"
