Unnamed: 0,Título,Ingredientes,Preparacion,NER,Imagen
128,Alubias,2 libras de carne molida&1 paquete de mezcla seca de cebolla&1 lata (No. 3) de alubias B & M&2 latas (15 oz) de alubias rojas&2 latas (15 oz) de alubias lima pequeñas amarillas&2 latas de alubias lima baby verdes&1/2 taza de azúcar moreno oscuro&1/2 taza de jarabe de Karo oscuro o claro&1 cucharadita de chile en polvo&1 taza de kétchup&1 cucharada de mostaza en polvo&sal y pimienta al gusto,"Fría la carne molida y las cebollas secas.&Añada sal y pimienta y chile en polvo.&Cuando se dore, combine en una cacerola grande o en una bandeja para asar.&Añada todos los ingredientes, incluyendo los jugos.&Esto parecerá aguado.&Hornee a 135°C a 150°C durante 4 horas.&No revuelva durante ese tiempo.",carne molida&cebolla&alubias&alubias rojas&alubias lima amarillas&alubias lima baby verdes&azúcar moreno oscuro&jarabe de Karo oscuro o claro&chile en polvo&kétchup&mostaza en polvo&sal y pimienta,https://i.pinimg.com/564x/2a/0a/51/2a0a51b1e74e1dd20075f89e585c70de.jpg
129,Postre de Albaricoque,"1 pastel de angel food, desmenuzado&46 oz. de néctar de albaricoque&1 1/4 de taza de azúcar&7 cucharadas de almidón de maíz&1 taza de nueces picadas","Mezcle el almidón de maíz y el azúcar.&Añada el néctar y cocine, llevando a ebullición.&Revuelva constantemente y cocine hasta que espese.&Deje enfriar un poco.",pastel de angel food&néctar de albaricoque&azúcar&almidón de maíz&nueces picadas,https://i.pinimg.com/564x/2a/05/0a/2a050a5213c52be86b55cd875cbd3db7.jpg
130,Cuadrados de Almendra y Miel,1 mezcla para pastel de pudín blanco de Duncan Hines&1 paquete (8 oz) de queso crema (a temperatura ambiente)&1/4 de taza de miel de alfalfa&3 a 4 oz. de almendras laminadas,Hornee el pastel como se indica en el paquete en una fuente de 13 x 9 pulgadas. Deje enfriar. Bata el queso crema hasta que esté suave. Añada miel. Extienda la mezcla sobre el pastel. Espolvoree con almendras. Almacene en el refrigerador.,mezcla para pastel&queso crema&miel de alfalfa&almendras,"https://res.cloudinary.com/oreegano/image/upload/c_fill,f_auto,g_center,h_500,q_auto,w_500/v1542652844/nppyfkjitlf33wbvrt7l.jpg"
131,Pollo al Horno,1/2 taza de arroz crudo&1 lata de sopa de cebolla francesa&1 lata de sopa de crema de pollo o de champiñones&1 lata de champiñones (4 oz.)&trozos de pollo de 4 a 6 muslos de pollo u otras partes de pollo que desees usar,Mezcla todo junto y vierte en una cacerola de 7 x 12 pulgadas.&Espolvorea con pimienta y páprika.&Hornea aproximadamente 1 hora y 15 minutos a 350\u00b0.,arroz&sopa de cebolla&crema de pollo&champiñones&trozos de pollo,https://i.pinimg.com/564x/36/09/1e/36091e54f42f6f1224e967f428a92428.jpg
132,Dip de Alcachofa,"1 taza de mayonesa&1 taza de queso Parmesano o Romano rallado&1 frasco de alcachofas, escurridas y cortadas en trozos pequeños","Mezcla todos los ingredientes. Vierte en una bandeja de 9 x 13 pulgadas. Hornea en un horno precalentado a 350\u00b0, sin tapar, durante 30 minutos. Sirve caliente con galletas.",mayonesa&queso Romano&alcachofas,https://i.pinimg.com/564x/1f/f7/3d/1ff73d733d15be6ec69e5b1596b8df52.jpg
133,Sopa de Cebolla Francesa,"1/4 de libra de mantequilla&2 1/2 libras de cebollas, en rodajas&1 cuarto de caldo de res (3 latas de caldo de res Campbell's)&1 cuarto de caldo de pollo (3 latas de caldo de pollo Campbell's)&2 cucharadas de salsa Worcestershire&1 hoja de laurel&1 1/2 cucharaditas de sal de ajo&1 cucharadita de pimienta negra (puedes usar menos)&sal al gusto (puede que no desees agregar ninguna)","Derrite la mantequilla en una cacerola grande.&Añade las cebollas en rodajas; dora bien, revolviendo constantemente.&Agrega el caldo de res y de pollo, la salsa Worcestershire, la hoja de laurel, la sal de ajo y la pimienta.&Deja cocinar a fuego lento durante 40 minutos.&Retira la hoja de laurel; agrega sal.&Sirve con una rebanada de pan francés tostado (de 1/2 pulgada de grosor).&Añade una rebanada gruesa de queso suizo (de 1/4 de pulgada de grosor), solapándola en el tazón.&Ponlo bajo el asador hasta que el queso se derrita y burbujee.",mantequilla&cebollas&caldo de res&caldo de pollo&salsa Worcestershire&hoja de laurel&sal de ajo&pimienta&sal,https://i.pinimg.com/564x/50/f5/c7/50f5c71abd5614f04949c66cb0cc7ab7.jpg
134,Pastel de Manzana,"6 a 7 manzanas, en rodajas&1 taza de azúcar&2 cucharadas de harina&1 cucharadita de canela&pizca de sal y nuez moscada",Coloca en un molde para pastel sin hornear.&Cubre las manzanas con 2 cucharadas de margarina junto con la masa.&Pincela leche en la parte superior de la masa y espolvorea con azúcar.&Hornea en la parte inferior del horno a 400\u00b0 durante 45 minutos.,manzanas&azúcar&harina&canela&sal,https://i.pinimg.com/564x/45/20/66/452066f9512e3a1efb588e89ba4dac01.jpg
135,Sloppy Joes,1 libra de carne molida&1 taza de ketchup&3 cucharadas de salsa Worcestershire&1 cucharada de mostaza&2 cucharadas de azúcar&sal y pimienta al gusto,Dora y escurre la carne molida.&Añade los demás ingredientes y cocina a fuego lento durante 20 minutos.,carne molida&ketchup&salsa Worcestershire&mostaza&azúcar&sal,https://i.pinimg.com/564x/d7/14/0c/d7140c940710f6fdf938b43e70beb9ce.jpg
136,Pastel de 7-Up,3 tazas de harina&3 tazas de azúcar&5 huevos&3 barras de mantequilla real (preferiblemente Land O Lakes)&3 cucharadas de sabor a limón&3/4 de taza de 7-Up&colorante alimentario amarillo (opcional),"Mezcla el azúcar y la mantequilla a fondo, luego agrega el huevo, la harina, el huevo, la harina, etc. hasta que todos los huevos y la harina estén mezclados completamente, ya sea con una batidora de mano o una batidora eléctrica.&Luego agrega el sabor a limón y tu 7-Up (el 7-Up hará que el pastel suba); agrega colorante alimentario amarillo que es opcional.&Hornea a 325\u00b0 a 350\u00b0 durante 45 minutos a 1 hora, dependiendo del horno.&Introduce un palillo de dientes después de 45 minutos. Cocina en un molde Bundt. Deja enfriar durante 25 minutos.&El pastel está listo.",harina&azúcar&huevos&mantequilla&sabor a limón&colorante alimentario amarillo,https://i.pinimg.com/564x/59/56/ea/5956eace67b4108e7f54ae678a3f01cd.jpg
137,Dip de Carne en Lata,1 lata de carne en lata&1 paquete de 8 oz. de queso crema (a temperatura ambiente)&2/3 de taza de mayonesa&1 taza de pepinillos de eneldo confitados picados&2 cucharadas de cebolla picada&1/2 cucharadita de rábano picante&1 cucharada de salsa Worcestershire&2 cucharaditas de mostaza Nance&3 cucharadas de jugo de pepinillos,Mezcla los ingredientes hasta que estén completamente combinados.,carne en lata&queso crema&mayonesa&pepinillos&cebolla&rábano picante&salsa Worcestershire&jugo de pepinillos,https://i.pinimg.com/564x/ff/3e/77/ff3e778676e57370faa9bcf9e8848856.jpg
138,Pastel de Chocolate,2 tazas de azúcar&1/2 taza de leche&3 cucharadas de cacao&3 cucharadas colmadas de harina&3 yemas de huevo&1 trozo (2 cucharadas) de mantequilla&1 cucharadita de vainilla&1 taza de agua hirviendo,Mezcla los ingredientes secos; añade la leche.&Bate las yemas de huevo.&Vierte 1 taza de agua hirviendo.&Mezcla y cocina hasta que espese.&Deja enfriar.&Vierte en la masa de pastel horneada.&Cubre con merengue y dora en el horno.,azúcar&leche&cacao&harina&yemas de huevo&mantequilla&vainilla&agua hirviendo,https://i.pinimg.com/564x/02/49/40/0249404694df26d495e48c04a0459476.jpg
139,Cazuela de Bolitas de Papa,1 bolsa de 32 oz. de bolitas de papa (Tater Tots)&2 libras de carne molida&1 cebolla picada&1 pimiento morrón picado&1 lata de sopa de champiñones&1 lata de sopa de apio&1 lata de sopa de pollo&queso rallado,"Extiende las bolitas de papa en una bandeja grande de pastel, de 9 x 13 pulgadas. Dora la carne y las cebollas; escúrrelas bien.&Vierte la mezcla de carne sobre las bolitas de papa. Mezcla las 3 sopas en un tazón.&Vierte sobre la carne y las bolitas de papa. Espolvorea queso rallado para cubrir la sopa.&Hornea a 325\u00b0 durante 1 hora.&Mientras dora la carne y las cebollas, agrega sal y pimienta.",Bolitas de papa&carne molida&cebolla&pimiento morrón&sopa de champiñones&sopa de apio&sopa de pollo&queso rallado,https://i.pinimg.com/564x/af/12/a5/af12a5dbf73e360c758045b1e4f6e92b.jpg
140,Pastel de Moras,3/4 de taza de azúcar&2 1/2 cucharadas de almidón de maíz&1 taza de agua&3 1/2 cucharadas de gelatina con sabor a mora&4 tazas de moras frescas&1 corteza de pastelería de 9 pulgadas horneada,"Combina el azúcar, el almidón de maíz y el agua en una cacerola pesada; cocina a fuego medio, revolviendo constantemente, hasta que espese.&Retira del fuego; agrega la gelatina, revolviendo hasta que se disuelva.&Incorpora suavemente las moras.&Vierte en la corteza de pastelería.&Refrigera hasta que esté firme.&Sirve con Cool Whip o helado.&Fácil y muy sabroso.",azúcar&almidón de maíz&agua&gelatina con sabor a mora&moras frescas&corteza de pastelería,https://i.pinimg.com/564x/51/26/67/512667679f228e7d58522c7d30101da7.jpg
141,Pastel de Caramelo,"16 oz. de Cool Whip&2 tazas de coco&3/4 de taza de margarina derretida&1 taza de almendras fileteadas, picadas finamente&1 lata de leche condensada Eagle Brand&3 cortezas de galletas Graham&8 oz. de queso crema&1 frasco de salsa de caramelo","Mezcla Cool Whip, queso crema ablandado y leche condensada Eagle Brand. Bate durante 1 minuto.&Vierte en las cortezas de pastel.&Derrite la margarina y mézclala con coco y almendras.&Coloca en una bandeja de galletas y cocina durante 10 minutos a 350\u00b0.&Vigila de cerca y revuelve a menudo.&(A mí me gusta tostarlo.)&Vierte la mezcla de coco y almendras sobre los pasteles.&Vierte la salsa de caramelo sobre los 3 pasteles.&Congela.",coco&margarina&almendras fileteadas&leche&cortezas de galletas Graham&queso crema&salsa de caramelo,https://i.pinimg.com/564x/39/b1/6e/39b16e4b7cf755c49486a83b98623e1e.jpg
142,Dip de Eneldo,3/4 de taza de aderezo para ensaladas Miracle Whip&1 taza de crema agria&1/2 cucharada de cebolla picada finamente&1/2 cucharada de hojuelas de perejil&1/2 cucharada de eneldo seco,"Mezcla todos los ingredientes.&Deja reposar en el refrigerador durante varias horas antes de servir.&Sírvelo con coliflor cruda, brócoli, zanahorias, apio, champiñones y tomates cherry.",Miracle Whip&crema agria&cebolla&hojuelas de perejil&eneldo seco,https://i.pinimg.com/564x/ba/82/b7/ba82b7a1220b67210753f175ae4f7c32.jpg
143,Pan de Maíz con Brócoli,1/2 cebolla mediana picada&1 cucharada de aceite&5 oz. de brócoli congelado&1/2 barra de margarina&1 paquete de mezcla para pan de maíz Jiffy&2 huevos&6 oz. de queso cottage,"Fría la cebolla en aceite.&Reserve.&Cocine el brócoli como se indica. Escurra y reserve.&Derrita la margarina.&Engrase una bandeja de 8 x 8 pulgadas.&Mezcle la mezcla para pan de maíz y los huevos.&Agregue queso cottage, brócoli, cebollas y margarina derretida.&Revuelva bien.&Vierta en la bandeja y hornee a 450\u00b0 durante 20 a 25 minutos.",cebolla&aceite&brócoli congelado&margarina&mezcla para pan de maíz&huevos&queso cottage,https://media.istockphoto.com/id/163894181/es/foto/br%C3%A9col-pan-de-ma%C3%ADz.jpg?s=612x612&w=0&k=20&c=nv2KViKCjHc4VO1SaKMoJ3BOFoa4OzirS9ogZaD1o8g=
144,Sopa de Verduras,"1 cebolla mediana, en cubos&1 papa, en cubos&1 1/2 pimientos verdes dulces, en cubos&1/2 taza de apio picado&1 taza de ziti pequeño cocido&1 1/2 libras de pavo molido o carne de res&latas de 14 oz. de ejotes verdes franceses&1 hoja de laurel grande&1 cucharadita de condimento italiano&1 taza de guisantes dulces&1 lata de jugo de tomate","Corta las verduras.&Cocina en poca agua hasta que estén tiernas.&Añade el ziti cocido, los ejotes verdes y los guisantes.&Añade la hoja de laurel y el condimento italiano.&Cocina la carne de pavo o res hasta que cambie de color.&Agrega a las verduras.&Vierte el jugo de tomate.&Lleva a ebullición. Reduce a fuego lento.&Si la sopa está muy espesa, agrega más jugo de tomate.",cebolla&papa&pimientos verdes dulces&apio&ziti pequeño&pavo molido&ejotes verdes franceses&hoja de laurel&condimento italiano&guisantes dulces&jugo de tomate,https://i.pinimg.com/564x/04/59/2c/04592c529fb62d7be18749703d362f15.jpg
145,Pastel de Chocolate con Crema de Cacahuate,1/4 de taza de cacao&2 barras de oleo&2 tazas de harina&2 tazas de azúcar&1 cucharadita de bicarbonato de sodio&pizca de sal&2 huevos&1 cucharadita de vainilla&1 taza de agua&1/2 taza de suero de leche,"En una cacerola, derrite la margarina; agrega el cacao.&Combina los ingredientes restantes y agrega la mezcla de margarina y cacao.&Hornea en un molde de 9 x 13 pulgadas durante 30 minutos a 350\u00b0.&Mientras aún esté caliente, haz agujeros en el pastel. Extiende en el pastel 1/2 taza de crema de cacahuate mezclada con 1 1/2 cucharaditas de aceite.",cacao&oleo&harina&azúcar&bicarbonato de sodio&sal&huevos&vainilla&agua&suero de leche,https://i.pinimg.com/564x/49/47/ad/4947adeb898ebee7097698cd828e66be.jpg
146,Barritas Mágicas de Galleta,1/2 taza de mantequilla&1 1/2 tazas de migajas de galleta Graham&1 lata (14 oz.) de leche condensada Eagle Brand&6 oz. de chispas de chocolate semi-dulce&1 lata (3 1/2 oz.) de coco rallado (1 1/2 tazas)&1 taza de nueces picadas,"Precalienta el horno a 350°F (325°F para recipientes de vidrio).&En un recipiente de 13 x 9 pulgadas, derrite la mantequilla en el horno.&Espolvorea las migajas de galleta por encima.&Añade la leche condensada Eagle Brand de manera uniforme.&Añade los ingredientes restantes.&Presiona hacia abajo. Hornea durante 25 a 30 minutos hasta que estén ligeramente dorados.&Deja enfriar o refrigera.&Corta en barras; guárdalas cubiertas de manera suelta a temperatura ambiente.",mantequilla&migajas de galleta Graham&leche&chispas de chocolate semi-dulce&coco rallado&nueces,https://i.pinimg.com/564x/30/f0/ae/30f0ae737af7b36e05c00b533c31b4cd.jpg
147,Praliné de Pacanas,1 taza de azúcar&1 taza de azúcar moreno compacto&1/3 de taza de leche evaporada&1/2 barra de mantequilla o margarina ablandada&1 1/2 tazas de pacanas&1 1/2 tazas de coco,"Combina el azúcar y la leche evaporada en una cacerola resistente. Cocina a fuego medio. Agrega la mantequilla, las pacanas y el coco. Cocina hasta que el caramelo alcance el punto de bola suave. (La mezcla formará una bola suave cuando se sumerja en una taza de agua fría.)&Deja enfriar 2 minutos. Bate hasta que quede espeso, pero brillante.&Coloca por cucharadas sobre papel encerado. Deja enfriar completamente.",azúcar&azúcar moreno compacto&leche evaporada&mantequilla&pacanas&coco,https://i.pinimg.com/564x/35/c6/bc/35c6bc88a8cc34ec6c3ed0134cb09d90.jpg
148,Relleno de Chocolate,1 caja grande de mezcla instantánea de pudín de chocolate&1 pequeña bolsa de galletas de vainilla&1 pequeña tarrina de Cool Whip&1 pequeña bolsa de nueces picadas (alrededor de 1/2 taza),"Prepara el pudín según las instrucciones del paquete, luego agrega las galletas de vainilla. Cubre con Cool Whip y espolvorea con nueces.",mezcla instantánea de pudín de chocolate&galletas de vainilla&nueces picadas,https://i.pinimg.com/564x/1c/11/31/1c1131875790d578488c384c8146f1bd.jpg
149,Glaseado de Chocolate Fácil,1 1/3 de taza de azúcar blanca&6 cucharadas de mantequilla&6 cucharadas de leche&1/2 de taza de chispas de chocolate&1/2 cucharadita de vainilla,"Lleva el azúcar, la mantequilla y la leche a ebullición y hierve durante 1 minuto. Retira del fuego y agrega las chispas de chocolate y la vainilla. (Puede ser necesario agregar aproximadamente 1/2 taza de azúcar glas.)",azúcar blanca&mantequilla&leche&chispas de chocolate&vainilla,https://i.pinimg.com/564x/1c/5f/80/1c5f8014642de02557790acca536f54a.jpg
150,Pastel de Calabaza Sin Hornear,"1 sobre de gelatina sin sabor Knox&1 lata (14 oz.) de leche condensada Eagle Brand&2 huevos, batidos&1 lata (16 oz.) de puré de calabaza (no mezcla de calabaza)&1 cucharadita de canela&1/2 cucharadita de jengibre&1/2 cucharadita de sal&2 cortezas de tarta, horneadas","Combina la gelatina, las especias, la leche condensada y los huevos a fuego lento hasta que la gelatina se disuelva (10 minutos). Retira del fuego. Agrega el puré de calabaza.&Vierte en las cortezas de tarta horneadas y luego enfría durante 3 horas. Adorna con Cool Whip y nueces picadas.",gelatina sin sabor Knox&leche&huevos&calabaza&canela&jengibre&sal&cortezas de tarta,https://i.pinimg.com/564x/74/cd/70/74cd70c5c1125700dadbde083757803c.jpg
151,Tostadas Francesas al Horno,"5 huevos grandes, ligeramente batidos&1/4 de taza de azúcar&1/4 de cucharadita de nuez moscada molida&2/3 de taza de jugo de naranja&1/3 de taza de crema de leche y media&1/2 cucharadita de vainilla",Mezcla todo bien en un recipiente mediano y corta una barra de pan italiano de 16 onzas en rebanadas de 1 pulgada. Sumerge el pan en la mezcla y colócalo en una fuente de horno de vidrio grande. Vierte la mezcla restante sobre el pan. Refrigera durante la noche.,huevos&azúcar&nuez moscada molida&jugo de naranja&crema de leche y media&vainilla,https://i.pinimg.com/564x/a6/a7/53/a6a753ae60a1248e736615d02e96eed4.jpg
152,Postre de Vainilla,9 tazas de cereal Chex&1 taza de chispas de chocolate&1 1/2 tazas de azúcar glas&1/2 taza de mantequilla de maní&1/4 de taza de margarina&1 cucharadita de vainilla,"Vierte el cereal en un tazón muy grande.&En un tazón de 1 cuarto, combina las chispas, la mantequilla de maní y la margarina; cocina en el microondas a alta potencia durante 1 a 1 1/2 minutos hasta que estén suaves.&(Revuelve después de 1 minuto.)&Vierte la mezcla de chocolate sobre el cereal, revolviendo todas las piezas hasta que estén cubiertas.&Luego, poco a poco, agrega el azúcar glas.&Revuelve bien cada vez que se añada el azúcar glas.&Puede que no necesites toda la caja de azúcar glas.",cereal&chispas de chocolate&azúcar glas&mantequilla de maní&margarina&vainilla,https://i.pinimg.com/564x/10/a0/3e/10a03e0685e0ba7486b6f21c8b14af98.jpg
153,Cazuela de Tamales,1 lata (16 oz.) de hominy amarillo&1 lata (4 oz.) de aceitunas verdes picadas&1 lata (4 oz.) de chiles verdes suaves&2 latas (16 oz.) de tamales&2 tazas de queso cheddar suave rallado&1/4 de taza de cebolla picada seca,"Precalienta el horno a 350°F.&Despega los envoltorios de los tamales y pícalos en un tazón grande.&Escurre el hominy, las aceitunas y los chiles.&Añádelos a los tamales.&Mezcla bien.&Coloca en una fuente para horno de 9 x 13 x 3 pulgadas.&Extiende de manera uniforme.&Espolvorea queso por encima y aceitunas si lo deseas.&Hornea durante 20 a 30 minutos.&Sirve para 8 personas.&Sírvelo con arroz español y nachos.",hominy amarillo&aceitunas&chiles verdes&tamales&queso cheddar suave&cebolla picada,https://i.pinimg.com/564x/5b/dc/99/5bdc991f230e224806b8ba68817cc210.jpg
154,Aderezo de Tacos,"1 lata pequeña de frijoles refritos&1 envase pequeño de aderezo de guacamole&1 taza de crema agria&3 cucharadas de mayonesa&1 paquete de condimento para tacos&1 taza de queso mozzarella&1 taza de queso cheddar&Cebolla verde picada, tomate y aceitunas negras (opcional)",Coloca los ingredientes anteriores en una fuente de 9 x 13 pulgadas.&Presiona con una espátula.&Sirve con Doritos.,frijoles refritos&aderezo de guacamole&crema agria&mayonesa&condimento para tacos&queso mozzarella&queso cheddar&cebolla verde,https://cdn0.recetasgratis.net/es/posts/3/5/1/salsa_roja_para_tacos_76153_orig.jpg
155,Pan de Bono,4 tazas de agua o agua de patata&1 pastilla de levadura o 3 paquetes de levadura seca&2 cucharadas de sal&2 huevos bien batidos&1 taza de azúcar o más,Puedes usar copos de patata deshidratada.&Añade harina según lo desees. La masa debe ser suave y elástica.&Hornea como panecillos o pan a 350°F. El pan estará listo cuando suene hueco al golpearlo.,agua&levadura&sal&huevos&azúcar,https://i.pinimg.com/564x/3f/a8/57/3fa8574d31109cfd2431c4b19f6575c7.jpg
156,Pastel de Pollo,"2 tazas de pollo, cocido y cortado en cubos&1 lata de sopa de champiñones en crema&3 tazas de caldo de pollo&1 lata de guisantes y zanahorias, escurridos&1 cebolla picada&3/4 de taza de margarina derretida&1 1/2 tazas de leche&1 1/2 cucharaditas de levadura en polvo&1 1/2 tazas de harina con levadura","Combina los primeros cinco ingredientes y colócalos en una fuente para horno de 9 x 12 pulgadas.&Mezcla los cuatro ingredientes siguientes y vierte sobre la mezcla de pollo.&No mezcles.&Hornea a 425°F durante 45 minutos a una hora, hasta que la corteza suba y se dore.",pollo&sopa de champiñones en crema&caldo de pollo&guisantes&cebolla&margarina derretida&leche&levadura en polvo&harina con levadura,https://i.pinimg.com/564x/c8/81/b3/c881b30ffba1289a31660819f96ecf35.jpg
157,Risotto de Pavo Ahumado,"3 tazas de caldo de pollo o caldo de verduras&1 paquete (10 oz.) de corazones de alcachofa congelados&2 cucharaditas de aceite de oliva o canola&3 cebollas verdes, incluyendo las partes verdes, en rodajas (1/3 de taza)&1 diente de ajo, picado&1 taza de arroz arborio, basmati o de grano largo blanco&1/2 cucharadita de orégano seco, desmenuzado&1/2 cucharadita de sal&1/4 de cucharadita de pimienta negra&4 oz. de espinacas, enjuagadas, cortadas y finamente picadas (2 tazas)&3 cucharadas de queso parmesano rallado","En una cacerola de tamaño mediano, lleva el caldo a hervir a fuego medio.&Baja el fuego, agrega los corazones de alcachofa, cubre y cocina durante unos 10 minutos o hasta que estén tiernos.&Con una espumadera, transfiere los corazones de alcachofa a un tazón y cúbrelos para mantenerlos calientes.",caldo de pollo&aceite de oliva&cebollas verdes&diente de ajo&arroz&orégano seco&sal&pimienta negra&espinacas&queso parmesano,https://www.7diasdesabor.com/wp-content/uploads/2021/09/1073ece294234b444c29a2b64a17362aded-2.jpg
158,Salsa de Berenjena,"1/2 taza de aceite (yo uso aceite de oliva extra ligero)&1 berenjena grande, sin pelar y picada&2 cebollas medianas picadas&1/2 cabeza de coliflor, picada&1 pimiento verde, picado&1/2 taza de perejil fresco italiano, picado&1/4 de libra de champiñones, en rodajas&8 dientes de ajo, picados o machacados&2 latas muy grandes de tomates italianos&1 hoja de laurel&1 cucharadita de albahaca seca&1 cucharadita de orégano&1 cucharadita de tomillo&1/2 cucharadita de mejorana&1/2 cucharadita de romero&1/2 cucharadita de sal, opcional&1 taza de vino tinto o blanco seco","Calienta el aceite en una olla grande.&Añade todas las verduras y el ajo. Saltea a fuego medio durante 15 minutos, revolviendo con frecuencia.&Añade los tomates y la salsa de tomate y todas las especias.&Lleva a ebullición y luego reduce el fuego.&Cubre y cocina a fuego lento durante 3 a 4 horas.&Durante la última hora de cocción, añade el vino.",aceite&berenjena&cebollas&coliflor&pimiento verde&perejil fresco italiano&champiñones&dientes de ajo&tomates italianos&hoja de laurel&albahaca seca&orégano&tomillo&mejorana&romero&sal&vino tinto,https://cdn0.recetasgratis.net/es/posts/1/1/4/salsa_de_berenjena_para_pasta_57411_orig.jpg
159,Pastel Watergate,1 caja de mezcla para pastel blanco&1 taza + 1 cucharada de aceite vegetal&1 paquete de mezcla instantánea de pudín de pistacho&1 taza de ginger ale&3 huevos&1/2 taza de nueces picadas&1 paquete (8 oz.) de Cool Whip&3/4 de taza de leche&1 paquete de mezcla instantánea de pudín de pistacho,"Combina la mezcla de pastel, el aceite, el pudín instantáneo, el ginger ale, los huevos y las nueces.&Vierte la mezcla en una fuente de 13 x 9 pulgadas que haya sido engrasada y enharinada.&Hornea a 350°F durante 30 minutos. Deja enfriar y agrega la cobertura cuando estés listo para servir. Para la cobertura del pastel, mezcla Cool Whip, leche y mezcla instantánea de pudín de pistacho. Vierte sobre el pastel y deja que se enfríe.",mezcla para pastel blanco&+&pudín instantáneo de pistacho&ginger ale&huevos&nueces picadas&Cool Whip&leche&mezcla instantánea de pudín de pistacho,https://i.pinimg.com/564x/cf/11/fd/cf11fdddb720df63007d25a4f7b0524e.jpg
160,Muffins de Ciruela,2 tazas de harina con levadura&1 taza de nueces trituradas&3 huevos&2 tarritos pequeños de puré de ciruela para bebés&2 tazas de azúcar&2 cucharaditas de pimienta de Jamaica&1 taza de aceite,Mezcla todos los ingredientes.&Coloca la mezcla en moldes para muffins engrasados. Hornea a 325°F durante 15 a 20 minutos o hasta que estén listos.,harina con levadura&nueces trituradas&huevos&azúcar&pimienta de Jamaica&aceite,https://cdn.colombia.com/gastronomia/2011/08/05/muffins-de-ciruela-y-canela-3468.jpg
161,Ponche de Arándanos,1 qt. de jugo de arándano&1 qt. de ginger ale&1 gelatina pequeña de cereza Jell-O&1 taza de agua hirviendo&6 oz. de limonada congelada&3 tazas de agua fría,Mezclar y poner en una fuente para ponche.&Adornar con helado de frutas.,jugo de arándano&ginger ale&O&agua hirviendo&limonada congelada&agua fría,https://i.pinimg.com/474x/a7/e6/31/a7e631b1a74088b5a1f11daaa5dc81ec.jpg
162,Tarta de Camote,"4 camotes, hervidos y escurridos&2 barras de mantequilla&2 tazas de azúcar&4 a 6 huevos&nuez moscada (sazonar al gusto)&2 tazas de Milnot","Con una batidora, cremar los camotes, la mantequilla y el azúcar hasta que estén suaves y cremosos.&Ten cuidado con las hebras de los camotes.&Añadir los huevos, uno a uno.&Mezclar después de cada huevo.&Añadir el sazonador y luego la leche.&Verter en una masa para tarta sin cocinar.&Hornear a 350 °F durante 45 minutos.",camotes&mantequilla&azúcar&huevos&nuez moscada,https://i.pinimg.com/474x/99/08/e6/9908e654c74c1829388aa3824a7df3c0.jpg
163,Pastel de Calabaza Moscada,2 tazas de azúcar&1 taza de aceite Crisco&4 huevos&2 1/2 tazas de harina con levadura&1/2 taza de leche dulce&1 cucharadita de extracto de vainilla&1 cucharada de extracto de nuez moscada,"Cremar el azúcar y el Crisco en un bol.&Agregar los huevos, uno a uno.&Batir bien.&Agregar la harina y la leche alternadamente a velocidad media.&Por último, añadir los sabores.&Batir durante 2 minutos.&Precalentar el horno a 325 °F.&Verter la masa en un molde para pastel engrasado y enharinado.&Hornear durante 1 hora.",azúcar&aceite Crisco&huevos&harina&leche dulce&extracto de vainilla&extracto de nuez moscada,https://i.pinimg.com/474x/7e/1d/f2/7e1df290685e7b8c97a615e3986b40db.jpg
164,Muffins de Gloria Matutina,"2 tazas de harina de todo uso&1 1/2 tazas de azúcar&2 cucharaditas de bicarbonato de sodio&1 cucharadita de canela molida&1/2 cucharadita de sal&2 tazas de zanahorias ralladas&1/2 taza de pasas&1/2 taza de coco&1/2 taza de nueces picadas&1 lata (8 oz.) de piña triturada, escurrida&1 taza de aceite vegetal&3 huevos grandes, ligeramente batidos&2 cucharaditas de vainilla","Combinar los primeros 5 ingredientes en un bol grande; agregar las zanahorias y los siguientes 4 ingredientes.&Hacer un hueco en el centro de la mezcla. Combinar el aceite vegetal y los ingredientes restantes.&Agregar a la mezcla de harina, revolviendo hasta que esté humedecida.&Colocar cápsulas de papel en moldes para muffins.&Rellenar las cápsulas con la masa, llenándolas 2/3.&Hornear a 350 °F durante 25 minutos o hasta que estén dorados.&Retirar de los moldes de inmediato.&Rinde 22 muffins.",harina&azúcar&bicarbonato de sodio&canela molida&sal&zanahorias&pasas&coco&nueces&piña&aceite vegetal&huevos&vainilla,https://i.pinimg.com/474x/2f/43/b9/2f43b9a4f8b7f45739fc951da8ed812f.jpg
